geocode,asian,black,mixed,other,white
E00109837,5,0,6,4,273
E00109838,6,0,5,0,249
E00109839,10,6,10,0,264
E00109840,1,1,3,0,325
E00109841,15,9,13,1,257
E00109842,9,10,9,0,283
E00109843,4,0,0,0,310
E00109844,11,3,1,5,278
E00109845,19,3,5,1,291
E00109846,8,7,2,0,273
E00109847,1,2,2,0,294
E00109848,3,0,0,0,301
E00109849,19,10,3,0,258
E00109850,5,1,2,2,270
E00109851,5,8,7,0,286
E00109852,25,44,22,2,361
E00109853,23,9,18,5,389
E00109854,2,0,1,0,290
E00109855,13,1,10,0,280
E00109856,13,6,5,2,301
E00109857,19,7,20,0,303
E00109858,10,11,5,0,265
E00109859,8,4,13,7,267
E00109860,10,9,5,6,366
E00109861,8,0,4,4,334
E00109862,2,4,6,0,269
E00109863,12,3,3,0,292
E00109864,10,4,3,1,281
E00109865,6,4,5,0,282
E00109866,5,1,8,0,356
E00109867,3,1,6,0,194
E00109868,23,11,5,0,336
E00109869,3,5,12,0,326
E00109870,10,1,3,0,291
E00109871,22,3,6,2,258
E00109872,12,4,0,0,321
E00109873,35,5,9,7,222
E00109874,4,3,2,0,305
E00109875,9,0,5,0,222
E00109876,21,17,8,1,215
E00109877,0,1,3,0,274
E00109878,11,1,2,1,223
E00109879,9,0,4,0,322
E00109880,4,1,6,0,326
E00109881,0,0,5,0,275
E00109882,17,0,5,5,329
E00109883,16,9,4,3,256
E00109884,16,5,8,1,302
E00109886,10,4,10,7,265
E00109887,17,7,15,5,499
E00109888,0,0,2,1,276
E00109889,3,0,12,1,474
E00109890,1,1,2,0,261
E00109891,4,1,6,0,223
E00109892,1,5,4,1,211
E00109893,0,0,1,0,171
E00109894,2,0,3,1,253
E00109895,1,6,3,0,216
E00109896,4,0,7,0,240
E00109897,7,3,4,0,306
E00109898,16,0,5,1,412
E00109899,1,3,6,0,231
E00109900,6,2,8,4,288
E00109901,2,0,0,0,285
E00109902,1,3,4,0,267
E00109903,4,4,3,0,283
E00109904,3,0,0,0,280
E00111152,6,3,7,0,314
E00111153,4,1,2,1,240
E00111154,3,0,0,0,340
E00111155,1,0,4,0,228
E00111156,0,1,3,0,394
E00111157,0,0,3,2,326
E00111158,0,1,0,0,315
E00111160,2,1,5,0,318
E00111163,5,0,3,0,363
E00111165,1,0,4,0,312
E00111166,0,0,0,0,236
E00111168,3,4,5,0,516
E00111169,0,0,4,0,321
E00111170,0,1,1,0,342
E00111171,3,0,0,0,295
E00111172,4,0,1,0,283
E00111173,4,0,1,0,242
E00111174,0,1,0,0,308
E00111175,0,1,1,0,258
E00111176,3,2,1,0,414
E00111177,0,0,1,0,260
E00111178,0,1,2,3,330
E00111179,1,1,2,0,393
E00111180,2,8,3,0,373
E00111181,0,0,2,0,335
E00111182,6,10,10,0,474
E00111183,10,0,6,3,281
E00111184,0,1,2,0,270
E00111185,6,4,0,0,346
E00111186,3,5,1,0,317
E00111187,6,1,3,0,253
E00111188,0,0,1,0,304
E00111189,6,0,6,0,371
E00111190,6,0,0,0,167
E00111191,0,0,2,0,199
E00111192,9,0,2,0,226
E00111193,3,0,5,1,298
E00111194,8,0,4,0,308
E00111195,3,0,0,1,210
E00111196,2,0,4,0,451
E00111197,4,0,2,0,292
E00111198,2,0,5,0,290
E00111199,0,0,2,0,216
E00111200,1,0,3,0,269
E00111201,1,0,6,0,208
E00111202,8,0,4,0,262
