geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01016673,21,17,492,137,51,4,4,0,50
E01016674,14,11,524,64,62,7,4,0,42
E01016675,9,0,285,32,98,4,6,1,48
E01016676,15,5,466,36,110,1,3,3,87
E01016677,8,6,519,49,87,5,4,0,51
E01016678,13,6,421,81,78,6,7,0,87
E01016679,23,94,859,88,75,5,3,4,61
E01016680,15,56,403,69,34,2,2,2,23
E01016682,24,26,850,25,86,7,4,2,39
E01016683,14,28,829,23,90,3,4,1,49
E01016684,33,34,619,48,72,9,3,2,35
E01016685,20,20,477,53,84,1,7,2,65
E01016686,27,38,512,40,33,9,5,0,55
E01016687,29,44,455,53,38,1,4,2,37
E01016688,55,60,520,74,30,7,2,0,46
E01016689,35,35,487,46,36,8,2,2,30
E01016690,9,26,727,40,105,4,5,1,41
E01016691,9,7,432,27,75,3,4,0,36
E01016692,14,3,443,44,35,1,2,3,162
E01016693,20,6,542,26,69,4,3,1,163
E01016694,11,4,408,49,64,0,3,0,191
E01016695,14,8,545,30,81,3,2,1,102
E01016696,17,13,528,143,56,5,4,2,103
E01016699,12,14,486,76,82,4,2,3,95
E01016700,17,19,802,33,88,4,6,2,113
E01016701,16,4,682,45,76,8,6,2,108
E01016702,21,21,733,44,64,9,2,1,109
E01016703,17,13,749,37,74,2,7,1,103
E01016704,24,21,691,70,59,10,2,2,124
E01016705,11,5,497,63,70,8,4,2,38
E01016706,10,5,732,34,93,6,6,1,54
E01016707,18,4,654,44,65,10,2,0,23
E01016708,7,6,577,24,98,6,14,1,65
E01016709,17,4,528,45,91,4,2,0,37
E01017840,8,32,686,108,58,5,5,4,42
E01017841,5,16,583,35,78,1,2,4,49
E01017844,7,36,530,111,41,6,8,2,27
E01017845,12,56,573,108,30,13,2,7,32
E01017846,9,12,438,65,49,7,5,3,42
E01017847,4,6,549,45,74,5,2,0,73
E01017848,7,6,434,23,71,4,0,1,44
E01017865,4,8,591,22,66,6,7,4,38
E01017866,4,4,493,55,104,8,12,1,64
E01017867,10,25,575,30,42,10,3,3,28
E01017868,8,7,577,45,79,7,3,0,40
E01017875,14,74,517,43,90,6,5,0,34
E01017876,9,7,787,46,118,5,4,1,61
E01017877,10,10,608,31,80,6,5,0,31
E01017878,21,12,859,94,273,4,18,2,87
E01017889,22,17,540,70,42,2,1,1,21
E01017890,11,8,484,54,72,4,1,0,31
E01017891,17,11,460,92,57,5,4,0,44
E01017892,13,7,441,63,85,5,3,0,51
E01017893,10,17,529,116,63,5,5,3,34
E01017894,15,9,484,99,83,3,1,1,48
E01017895,11,9,395,104,64,6,4,1,55
E01017896,7,2,398,78,127,3,8,1,55
E01017897,26,15,617,105,58,8,2,1,57
E01017898,20,24,512,91,29,5,1,1,26
E01017908,24,71,1050,112,54,15,11,2,40
E01017940,6,34,759,35,42,11,3,1,44
E01017941,11,29,642,49,39,3,3,2,39
E01022467,9,22,605,38,82,8,7,1,68
E01022468,12,19,618,37,96,4,7,1,58
E01022469,11,22,592,41,57,5,7,4,41
E01022470,26,36,840,69,82,7,10,2,72
E01022471,15,23,667,66,89,2,3,5,64
E01022472,8,7,418,28,84,4,4,0,50
E01022473,39,32,500,53,35,5,3,0,10
E01022474,19,58,548,96,14,7,2,4,12
E01022475,32,38,799,80,37,9,4,8,35
E01022476,29,41,817,105,45,7,5,3,37
E01022477,19,40,650,44,24,3,2,2,32
E01022478,20,72,575,53,19,6,4,2,19
E01022479,16,51,501,85,12,5,6,2,20
E01022480,18,51,525,66,25,7,4,5,26
E01022481,32,65,584,223,25,3,4,12,46
E01022482,17,33,401,201,29,4,3,7,42
E01022484,27,53,398,80,14,2,1,6,9
E01022485,14,61,389,46,19,4,3,7,18
E01022486,16,53,893,69,38,10,5,1,38
E01022487,21,70,402,65,11,6,2,1,19
E01022488,12,10,458,42,44,3,4,1,31
E01022489,4,5,488,62,121,4,7,0,48
E01022490,10,16,750,21,86,2,2,2,72
E01022491,14,7,756,38,67,8,4,1,126
E01022492,5,10,607,76,101,3,7,0,64
E01022493,15,5,521,27,95,3,4,1,36
E01022494,23,66,1120,81,85,9,5,1,74
E01022495,18,45,721,59,40,3,6,2,58
E01022496,11,46,1206,38,115,5,4,1,102
E01022497,14,33,635,52,56,5,0,2,53
E01022498,14,38,728,44,68,9,5,1,46
E01022499,13,11,600,31,84,8,6,1,39
E01022500,10,5,500,48,123,3,4,1,41
E01022502,33,36,516,207,38,7,4,3,63
E01022503,15,30,463,219,42,3,5,3,81
E01022504,14,16,516,79,53,2,1,2,43
E01022505,31,27,603,114,41,4,1,4,25
E01022506,16,24,524,96,22,11,3,2,30
E01022507,20,38,574,143,35,8,5,5,44
E01022509,7,28,716,22,28,6,7,0,45
E01022510,7,34,831,26,69,8,3,2,58
E01022511,9,22,578,26,56,4,3,0,40
E01022512,14,17,635,26,58,6,5,1,59
E01022513,11,14,574,43,119,1,5,2,36
E01022514,9,8,557,62,106,4,3,1,57
E01022515,12,20,410,19,27,4,3,3,17
E01022516,10,27,554,40,49,3,3,2,22
E01022517,11,10,546,24,61,2,1,1,24
E01022518,10,18,898,31,98,4,2,3,57
E01022519,9,12,528,27,54,0,0,0,30
E01022520,19,23,622,86,71,7,3,3,25
E01022521,8,13,727,45,81,4,6,0,41
E01022522,5,12,628,62,116,7,9,1,40
E01022523,40,83,586,261,26,10,6,3,48
E01022524,29,62,586,203,25,3,5,2,37
E01022525,22,30,506,174,37,6,1,5,68
E01022526,20,39,524,214,36,4,2,3,58
E01022527,21,41,409,182,26,7,1,2,80
E01022528,7,19,508,17,51,7,2,3,25
E01022529,6,23,527,47,67,3,4,1,36
E01022530,2,17,474,23,64,0,1,0,28
E01022531,13,29,606,20,70,6,4,2,46
E01022532,3,8,509,25,115,2,8,0,54
E01022533,6,27,594,65,109,5,9,1,103
E01022534,11,29,567,67,55,7,5,1,63
E01022535,7,24,506,74,72,0,6,0,48
E01022536,9,15,500,25,69,7,4,0,21
E01022537,31,12,540,24,52,5,4,2,24
E01022539,14,56,438,68,20,10,4,3,18
E01022540,26,90,680,120,19,6,6,6,30
E01022542,19,61,382,94,15,7,5,2,16
E01022543,29,51,576,147,19,9,5,0,20
E01022546,15,9,486,31,86,4,5,0,88
E01022547,8,10,606,39,89,4,8,3,65
E01022548,18,23,444,78,15,2,2,6,18
E01022549,28,86,511,90,10,8,7,7,20
E01022550,17,46,493,102,18,9,8,6,20
E01022551,18,54,584,97,21,4,3,4,26
E01022552,25,63,496,120,25,4,5,4,21
E01022553,35,19,593,61,42,5,0,0,22
E01022554,52,26,640,95,41,8,3,0,15
E01022555,40,29,579,84,24,6,5,1,8
E01022556,30,32,545,119,20,2,2,1,12
E01022557,27,24,599,82,33,10,4,1,16
E01022558,31,18,603,51,17,6,3,2,25
E01022559,23,32,538,31,57,8,4,1,18
E01022560,35,25,540,58,22,4,2,1,11
E01022561,16,4,498,76,105,2,15,2,75
E01022562,10,2,419,43,104,4,6,0,60
E01022563,9,21,641,80,106,6,5,0,73
E01022564,5,27,581,122,81,10,3,0,61
E01022565,4,20,617,129,30,6,4,0,62
E01022566,19,51,509,64,18,6,0,2,20
E01022567,28,60,379,83,18,4,1,3,18
E01022568,26,62,485,80,24,4,7,7,30
E01022569,22,33,474,36,38,6,2,3,25
E01022570,27,42,625,59,36,2,1,5,23
E01022581,13,12,494,67,98,3,4,0,67
E01022604,5,4,382,57,85,4,5,0,34
E01022846,7,2,479,39,113,3,5,0,39
E01022847,14,18,766,49,64,6,4,0,52
E01022848,16,16,608,41,48,13,4,0,40
E01022849,15,11,669,42,64,9,4,2,55
E01022850,14,11,631,48,55,9,6,1,50
E01022851,17,7,631,49,66,6,1,3,58
E01022852,12,5,890,39,68,7,5,4,77
E01022853,15,13,670,40,73,7,4,0,39
E01022854,13,5,700,31,70,0,8,3,68
E01022855,6,6,415,23,63,3,2,1,49
E01022856,11,4,492,30,103,7,8,0,54
